Hole_ID,X,Y,Z,Depth
DH038,250098.76499999996,350051.3499999996,183.183,11.5
DH039,250099.566,350102.93400000036,174.105,9.4
DH040,250098.12199999997,350149.66600000113,165.743,11.3
DH041,250096.83999999997,350175.9419999998,156.381,10.0
DH042,250087.52599999995,350199.31200000085,156.47,14.0
DH043,250122.34399999998,350252.46800000034,150.526,8.9
DH044,250099.16799999995,350273.23300000094,142.992,10.0
DH045,250103.61699999997,350304.5,149.708,29.6
DH046,250101.12799999997,350325.21100000106,145.32,25.5
DH047,250101.42899999995,350353.8269999996,147.026,27.0
DH048,250096.46999999997,350377.7039999999,143.241,14.0
DH049,250100.24399999995,350400.24899999984,143.487,18.0
DH050,250101.60099999997,350425.82400000095,142.642,19.0
DH051,250125.52499999997,350275.1640000008,154.066,21.0
DH052,250124.56899999996,350299.95299999975,152.753,8.0
DH053,250126.74299999996,350324.29399999976,150.737,32.0
DH054,250129.01599999995,350350.097000001,150.151,18.0
DH055,250126.64099999995,350375.7469999995,148.27,30.0
DH056,250125.74699999997,350400.2430000007,146.884,19.5
DH057,250123.985,350421.46499999985,145.266,19.0
DH058,250148.92599999998,350002.2410000004,182.453,9.0
DH059,250148.60599999997,350100.08300000057,169.574,6.6
DH060,250152.78599999996,350199.1559999995,159.67,17.0
DH061,250149.19799999997,350272.9059999995,156.909,20.5
DH062,250150.46599999996,350300.77600000054,153.681,28.5
DH063,250149.84999999998,350322.74899999984,153.876,17.0
DH064,250149.67699999997,350349.51099999994,151.763,31.0
DH065,250150.97499999998,350376.7550000008,150.48,18.5
DH066,250149.91999999998,350403.15699999966,148.7,19.5
DH067,250149.696,350449.5640000012,142.829,30.0
DH068,250175.50999999995,350075.67899999954,172.213,7.2
DH069,250173.44899999996,350198.7650000006,163.274,14.0
DH070,250172.16099999996,350250.75,160.399,24.0
DH071,250176.39999999997,350271.6400000006,158.021,22.0
DH072,250176.066,350301.7290000003,157.814,24.0
DH073,250176.402,350328.3169999998,156.654,22.5
DH074,250172.94299999997,350350.7770000007,154.439,31.3
DH075,250175.076,350376.8010000009,153.086,26.0
DH076,250174.09499999997,350399.4419999998,151.866,38.0
DH077,250200.89999999997,350002.9960000012,174.922,9.5
DH078,250198.84399999998,350051.7240000013,167.776,7.0
DH079,250200.387,350200.3870000001,165.681,32.8
DH080,250201.07299999997,350228.91000000015,164.215,28.0
DH081,250198.86699999997,350251.46499999985,162.68,20.2
DH082,250197.91099999996,350273.72000000067,162.029,21.5
DH083,250200.53399999999,350301.27800000086,162.047,23.0
DH084,250201.223,350325.3230000008,161.108,19.0
DH085,250199.72499999998,350352.7129999995,158.981,21.8
DH086,250197.022,350377.82799999975,156.092,18.5
DH087,250202.528,350402.6180000007,155.326,21.0
DH088,250224.78099999996,350200.05000000075,167.781,15.5
DH089,250225.071,350248.41300000064,166.315,14.0
DH090,250227.821,350301.50100000016,166.625,37.0
DH091,250226.49,350323.97000000067,166.941,25.0
DH092,250226.75799999997,350349.0030000005,164.434,19.5
DH093,250225.56399999995,350377.9140000008,160.717,17.0
DH094,250225.599,350400.8660000004,159.244,16.0
DH095,250250.392,350274.99200000055,170.577,20.0
DH096,250251.76799999998,350302.6919999998,171.163,15.0
DH097,250251.46699999995,350327.5180000011,170.668,19.5
DH098,250250.979,350374.5429999996,165.681,21.0
DH099,250251.01599999995,350401.73900000006,163.805,19.5
DH100,250275.37999999995,350275.63200000115,176.269,27.0
DH101,250281.5,350300.76099999994,178.489,10.5
DH102,250294.903,350319.2719999999,182.032,21.0
DH103,250273.36299999995,350347.8200000003,173.647,31.5
DH104,250299.739,350274.7100000009,184.3,18.5
DH105,250297.91599999997,350301.5940000005,183.985,21.0
DH106,250298.71899999998,350324.86400000006,182.97,28.5
DH107,250299.66699999996,350351.5429999996,175.303,27.0
DH108,250298.811,350398.66899999976,175.51,28.0
DH109,250176.53099999996,350032.9480000008,176.69,7.0
DH110,250181.98799999995,350081.2410000004,167.706,5.0
DH111,250173.52099999995,350121.1679999996,157.01,3.0
DH112,250179.72099999996,350184.60800000094,163.0,17.75
DH113,250182.511,350230.31799999997,162.2,17.0
DH114,250185.53099999996,350268.1679999996,159.6,13.4
DH115,250210.41099999996,350112.5480000004,167.88,16.0
DH116,250208.35099999997,350145.81799999997,165.62,11.2
DH117,250209.17099999997,350204.27800000086,165.88,24.45
DH118,250207.52099999995,350252.42800000124,163.01,19.3
DH119,250231.838,350032.93099999987,175.7,13.0
DH120,250235.38799999998,350081.3169999998,173.415,15.0
DH121,250237.96099999995,350137.2580000013,172.04,14.0
DH122,250230.42099999997,350180.1280000005,168.89,24.0
DH123,250231.29799999995,350234.625,166.354,20.5
DH124,250234.261,350279.35800000094,167.22,25.0
DH125,250265.35099999997,350008.438000001,174.65,11.0
DH126,250257.89099999995,350049.03800000064,179.28,15.0
DH127,250256.74099999998,350102.32799999975,174.77,22.0
DH128,250251.53099999996,350144.5080000013,172.91,18.0
DH129,250256.34099999996,350196.92800000124,172.66,20.0
DH130,250261.30099999998,350251.3379999995,171.89,20.0
DH131,250281.251,350035.1180000007,182.71,20.0
DH132,250288.22099999996,350079.1180000007,175.85,16.0
DH133,250272.55099999998,350128.39800000004,176.66,20.5
DH134,250284.92099999997,350180.38800000027,178.48,16.0
DH135,250287.001,350227.7379999999,182.24,17.0
DH136,250279.838,350273.72100000083,177.121,20.0
DH137,250304.76599999995,350008.6219999995,187.022,14.0
DH138,250302.691,350062.09800000116,177.61,17.4
DH139,250304.74099999998,350098.70800000057,181.26,24.0
DH140,250304.02099999995,350166.96800000034,174.64,24.4
DH141,250299.43099999998,350198.2680000011,185.78,17.3
DH142,250318.03099999996,350255.3780000005,194.54,6.0
DH143,250333.47799999994,350038.05700000003,182.177,18.5
DH144,250337.49099999998,350084.5879999995,191.61,19.0
