Hole_ID,From,To,Lithology
DH009,23.0,24.0,RSAP
DH009,24.0,25.0,RSAP
DH009,25.0,26.0,RSAP
DH009,26.0,26.35,SAP
DH009,26.35,27.0,RSAP
DH010,0.0,1.0,SOIL
DH010,1.0,2.0,LIMO
DH010,2.0,3.0,LIMO
DH010,3.0,4.0,LIMO
DH010,4.0,5.0,LIMO
DH010,5.0,6.0,LIMO
DH010,6.0,7.0,LIMO
DH010,7.0,8.0,LIMO
DH010,8.0,9.0,LIMO
DH010,9.0,10.0,LIMO
DH010,10.0,11.0,LIMO
DH010,11.0,12.0,LIMO
DH010,12.0,13.0,SROC
DH010,13.0,14.0,SROC
DH010,14.0,15.0,BLD
DH010,15.0,16.0,BLD
DH010,16.0,17.0,SROC
DH010,17.0,18.0,SROC
DH010,18.0,18.5,SAP
DH010,18.5,19.0,SAP
DH010,19.0,20.0,SROC
DH011,0.0,1.0,SOIL
DH011,1.0,2.0,LIMO
DH011,2.0,3.0,LIMO
DH011,3.0,4.0,LIMO
DH011,4.0,5.0,LIMO
DH011,5.0,6.0,LIMO
DH011,6.0,7.0,LIMO
DH011,7.0,8.0,LIMO
DH011,8.0,9.0,LIMO
DH011,9.0,10.0,LIMO
DH011,10.0,11.0,LIMO
DH011,11.0,12.0,LIMO
DH011,12.0,13.0,LIMO
DH011,13.0,14.0,SAP
DH011,14.0,14.5,SAP
DH011,14.5,15.0,BLD
DH011,15.0,16.0,SAP
DH011,16.0,17.0,SAP
DH011,17.0,18.0,SAP
DH011,18.0,19.0,SAP
DH011,19.0,19.5,SAP
DH011,19.5,20.0,BLD
DH011,20.0,21.0,SAP
DH011,21.0,22.0,SAP
DH011,22.0,23.0,SAP
DH011,23.0,24.0,SROC
DH011,24.0,25.0,SROC
DH011,25.0,26.0,SROC
DH011,26.0,27.0,SROC
DH011,27.0,28.0,RSAP
DH011,28.0,29.0,RSAP
DH011,29.0,30.0,RSAP
DH011,30.0,31.0,RSAP
DH011,31.0,31.5,RSAP
DH011,31.5,32.0,BRK
DH011,32.0,32.6,BRK
DH011,32.6,33.0,BRK
DH012,0.0,1.0,SOIL
DH012,1.0,2.0,LIMO
DH012,2.0,3.0,LIMO
DH012,3.0,4.0,LIMO
DH012,4.0,5.0,LIMO
DH012,5.0,6.0,LIMO
DH012,6.0,7.0,LIMO
DH012,7.0,8.0,LIMO
DH012,8.0,9.0,LIMO
DH012,9.0,10.0,LIMO
DH012,10.0,11.0,LIMO
DH012,11.0,12.0,LIMO
DH012,12.0,13.0,LIMO
DH012,13.0,14.0,LIMO
DH012,14.0,15.0,LIMO
DH012,15.0,16.0,LIMO
DH012,16.0,17.0,LIMO
DH012,17.0,18.0,LIMO
DH012,18.0,19.0,LIMO
DH012,19.0,20.0,SROC
DH012,20.0,21.0,SROC
DH012,21.0,21.4,BLD
DH012,21.4,22.0,SROC
DH012,22.0,22.5,BRK
DH013,0.0,1.0,SOIL
DH013,1.0,2.0,LIMO
DH013,2.0,3.0,LIMO
DH013,3.0,4.0,LIMO
DH013,4.0,5.0,LIMO
DH013,5.0,6.0,LIMO
DH013,6.0,7.0,LIMO
DH013,7.0,8.0,LIMO
DH013,8.0,9.0,LIMO
DH013,9.0,10.0,LIMO
DH013,10.0,11.0,LIMO
DH013,11.0,12.0,LIMO
DH013,12.0,13.0,LIMO
DH013,13.0,14.0,LIMO
DH013,14.0,15.0,LIMO
DH013,15.0,16.0,LIMO
DH013,16.0,17.0,LIMO
DH013,17.0,18.0,LIMO
DH013,18.0,18.5,LIMO
DH013,18.5,19.0,SAP
DH013,19.0,20.0,SAP
DH013,20.0,21.0,SAP
DH013,21.0,22.0,SAP
DH013,22.0,23.0,SAP
DH013,23.0,24.0,SAP
DH013,24.0,25.0,SAP
DH013,25.0,26.0,SAP
DH013,26.0,27.0,SAP
DH013,27.0,28.0,RSAP
DH013,28.0,29.0,RSAP
DH013,29.0,30.0,RSAP
DH013,30.0,31.0,RSAP
DH013,31.0,32.0,SROC
DH013,32.0,33.0,SROC
DH013,33.0,34.0,SROC
DH013,34.0,35.0,RSAP
DH013,35.0,36.0,SROC
DH013,36.0,37.0,RSAP
DH013,37.0,38.0,SROC
DH013,38.0,38.7,BRK
DH014,0.0,1.0,SOIL
DH014,1.0,2.0,LIMO
DH014,2.0,3.0,LIMO
DH014,3.0,4.0,LIMO
DH014,4.0,5.0,LIMO
DH014,5.0,6.0,LIMO
DH014,6.0,7.0,LIMO
DH014,7.0,8.0,LIMO
DH014,8.0,9.0,LIMO
DH014,9.0,10.0,LIMO
DH014,10.0,11.0,LIMO
DH014,11.0,12.0,LIMO
DH014,12.0,13.0,LIMO
DH014,13.0,14.0,LIMO
DH014,14.0,15.0,LIMO
DH014,15.0,16.0,LIMO
DH014,16.0,17.0,LIMO
DH014,17.0,18.0,LIMO
DH014,18.0,19.0,LIMO
DH014,19.0,20.0,LIMO
DH014,20.0,21.0,LIMO
DH014,21.0,22.0,LIMO
DH014,22.0,23.0,LIMO
DH014,23.0,24.0,LIMO
DH014,24.0,25.0,LIMO
DH014,25.0,26.0,LIMO
DH014,26.0,27.0,LIMO
DH014,27.0,28.0,LIMO
DH014,28.0,29.0,LIMO
DH014,29.0,30.0,LIMO
DH014,30.0,31.0,LIMO
DH014,31.0,32.0,LIMO
DH014,32.0,33.0,LIMO
DH014,33.0,34.0,LIMO
DH014,34.0,35.0,LIMO
DH014,35.0,36.0,RSAP
DH014,36.0,37.0,RSAP
DH014,37.0,38.0,RSAP
DH014,38.0,39.0,RSAP
DH014,39.0,39.7,RSAP
DH014,39.7,40.0,SAP
DH014,40.0,40.65,SAP
DH014,40.65,41.0,SROC
DH014,41.0,41.5,BRK
DH015,0.0,1.0,SOIL
DH015,1.0,2.0,LIMO
DH015,2.0,3.0,LIMO
DH015,3.0,4.0,LIMO
DH015,4.0,5.0,LIMO
DH015,5.0,6.0,LIMO
DH015,6.0,7.0,LIMO
DH015,7.0,8.0,LIMO
DH015,8.0,9.0,SAP
DH015,9.0,10.0,SAP
DH015,10.0,11.0,SAP
DH015,11.0,12.0,SAP
DH015,12.0,13.0,SAP
DH015,13.0,14.0,SAP
DH015,14.0,15.0,RSAP
DH015,15.0,16.2,BRK
DH016,0.0,1.0,SOIL
DH016,1.0,1.5,LIMO
DH016,1.5,2.0,LIMO
DH016,2.0,3.0,LIMO
DH016,3.0,4.0,LIMO
DH016,4.0,5.0,LIMO
DH016,5.0,6.0,LIMO
DH016,6.0,7.0,LIMO
DH016,7.0,7.5,RSAP
DH016,7.5,8.0,SAP
DH016,8.0,9.0,SAP
DH016,9.0,10.0,SAP
DH016,10.0,10.3,RSAP
DH016,10.3,11.0,SAP
DH016,11.0,11.6,SAP
DH016,11.6,12.0,RSAP
DH016,12.0,13.0,RSAP
DH017,0.0,0.4,SOIL
DH017,0.4,1.0,LIMO
DH017,1.0,2.0,LIMO
DH017,2.0,3.0,LIMO
DH017,3.0,4.0,LIMO
DH017,4.0,5.0,LIMO
DH017,5.0,6.0,LIMO
DH017,6.0,7.0,LIMO
DH017,7.0,8.0,LIMO
DH017,8.0,9.0,LIMO
DH017,9.0,10.0,LIMO
DH017,10.0,11.0,LIMO
DH017,11.0,12.0,LIMO
DH017,12.0,13.0,LIMO
DH017,13.0,14.0,LIMO
DH017,14.0,15.0,LIMO
DH017,15.0,16.0,LIMO
DH017,16.0,17.0,LIMO
DH017,17.0,18.0,SAP
DH017,18.0,18.4,SAP
DH017,18.4,19.0,RSAP
DH017,19.0,19.7,RSAP
DH017,19.7,20.0,RSAP
DH017,20.0,20.6,RSAP
DH017,20.6,21.0,SAP
DH017,21.0,21.3,BLD
DH017,21.3,22.0,SAP
DH017,22.0,22.6,SAP
DH017,22.6,23.0,BRK
DH017,23.0,23.5,BRK
DH018,0.0,1.0,SOIL
DH018,1.0,2.0,LIMO
DH018,2.0,3.0,LIMO
DH018,3.0,4.0,LIMO
DH018,4.0,5.0,LIMO
DH018,5.0,6.0,LIMO
DH018,6.0,7.0,LIMO
DH018,7.0,8.0,LIMO
DH018,8.0,9.0,LIMO
DH018,9.0,10.0,LIMO
DH018,10.0,11.0,LIMO
DH018,11.0,12.0,LIMO
DH018,12.0,13.0,LIMO
DH018,13.0,14.0,LIMO
DH018,14.0,15.0,LIMO
DH018,15.0,16.0,LIMO
DH018,16.0,17.0,LIMO
DH018,17.0,18.0,LIMO
DH018,18.0,19.0,LIMO
DH018,19.0,20.0,LIMO
DH018,20.0,20.3,LIMO
DH018,20.3,20.7,SROC
DH018,20.7,21.0,SROC
DH018,21.0,22.0,SROC
DH018,22.0,23.0,SAP
DH018,23.0,23.8,RSAP
DH018,23.8,25.0,BRK
DH018,25.0,25.5,BRK
DH019,0.0,1.0,SOIL
DH019,1.0,2.0,LIMO
DH019,2.0,3.0,LIMO
DH019,3.0,4.0,LIMO
DH019,4.0,5.0,LIMO
DH019,5.0,6.0,LIMO
DH019,6.0,7.0,LIMO
DH019,7.0,8.0,LIMO
DH019,8.0,9.0,LIMO
DH019,9.0,10.0,LIMO
DH019,10.0,11.0,LIMO
DH019,11.0,12.0,LIMO
DH019,12.0,13.0,BLD
DH019,13.0,14.0,LIMO
DH019,14.0,15.0,LIMO
DH019,15.0,16.0,SAP
DH019,16.0,17.0,SAP
DH019,17.0,18.0,SAP
DH019,18.0,19.0,SROC
DH020,0.0,1.0,SOIL
DH020,1.0,2.0,LIMO
DH020,2.0,3.0,LIMO
DH020,3.0,4.0,LIMO
DH020,4.0,5.0,LIMO
DH020,5.0,6.0,LIMO
DH020,6.0,7.0,LIMO
DH020,7.0,8.0,LIMO
DH020,8.0,9.0,LIMO
DH020,9.0,10.0,LIMO
DH020,10.0,11.0,LIMO
DH020,11.0,12.0,LIMO
DH020,12.0,13.0,LIMO
DH020,13.0,14.0,LIMO
DH020,14.0,15.0,LIMO
DH020,15.0,16.0,LIMO
DH020,16.0,17.0,LIMO
DH020,17.0,18.0,LIMO
DH020,18.0,19.0,LIMO
DH020,19.0,19.3,LIMO
DH020,19.3,20.0,SROC
DH020,20.0,21.0,SAP
DH020,21.0,22.0,SROC
DH021,0.0,1.0,SOIL
DH021,1.0,2.0,LIMO
DH021,2.0,3.0,LIMO
DH021,3.0,4.0,LIMO
DH021,4.0,5.0,LIMO
DH021,5.0,6.0,LIMO
DH021,6.0,7.0,LIMO
DH021,7.0,8.0,LIMO
DH021,8.0,9.0,LIMO
DH021,9.0,10.0,LIMO
DH021,10.0,11.0,LIMO
DH021,11.0,12.0,LIMO
DH021,12.0,13.0,LIMO
DH021,13.0,14.0,LIMO
DH021,14.0,15.0,LIMO
DH021,15.0,16.0,LIMO
DH021,16.0,17.0,LIMO
DH021,17.0,18.0,LIMO
DH021,18.0,19.0,LIMO
DH021,19.0,20.0,LIMO
DH021,20.0,21.0,LIMO
DH021,21.0,22.0,LIMO
DH021,22.0,23.0,LIMO
DH021,23.0,24.0,SAP
